Sensor Position (Radians)	Light Intensity (Volts)
1.79333	0.21419
1.79333	0.21773
1.80205	0.23046
1.80642	0.23593
1.80642	0.24109
1.81078	0.24963
1.81514	0.26010
1.81951	0.26783
1.82387	0.27604
1.82823	0.28007
1.83260	0.29118
1.83696	0.29908
1.84132	0.30568
1.84569	0.31390
1.84569	0.32195
1.85005	0.33017
1.85878	0.33935
1.85878	0.35030
1.86314	0.35916
1.86750	0.36721
1.87187	0.37398
1.87187	0.37656
1.88059	0.39444
1.88932	0.41055
1.88932	0.41715
1.89368	0.41973
1.89368	0.43052
1.89805	0.43519
1.90241	0.44099
1.90677	0.45355
1.91550	0.47562
1.91986	0.48996
1.92423	0.49753
1.92859	0.51299
1.93295	0.52926
1.94168	0.54553
1.94604	0.55858
1.95041	0.57131
1.95913	0.58999
1.96350	0.60578
1.96786	0.61979
1.97222	0.63445
1.98095	0.65265
1.98968	0.68020
1.99840	0.70388
1.99840	0.71257
2.00277	0.72288
2.01149	0.73754
2.01586	0.75542
2.02022	0.77105
2.02458	0.78426
2.02895	0.79424
2.03331	0.80600
2.03331	0.81583
2.04204	0.83145
2.04640	0.85771
2.05076	0.87140
2.05513	0.88332
2.05949	0.89911
2.06822	0.91618
2.07258	0.93503
2.07694	0.94566
2.08131	0.95967
2.08567	0.98174
2.09003	0.99801
2.09440	1.00929
2.09876	1.02507
2.10312	1.03844
2.10749	1.05713
2.11185	1.07485
2.12058	1.09353
2.12494	1.11012
2.12930	1.12140
2.13367	1.13880
2.13803	1.16022
2.14239	1.17810
2.14675	1.19373
2.15548	1.21563
2.15984	1.22932
2.16421	1.24672
2.16421	1.25687
2.16857	1.26589
2.17293	1.28103
2.17730	1.29408
2.18166	1.30262
2.18602	1.32420
2.19039	1.33967
2.19475	1.35223
2.19475	1.36560
2.19911	1.37269
2.19911	1.38396
2.20348	1.39927
2.20784	1.40813
2.21220	1.42391
2.21657	1.44018
2.22093	1.44936
2.22529	1.46821
2.22529	1.47868
2.22966	1.48319
2.22966	1.49334
2.23838	1.51525
2.23838	1.51315
2.23838	1.52958
2.24275	1.53876
2.24711	1.54585
2.24711	1.55713
2.25147	1.56679
2.25584	1.58983
2.26020	1.60529
2.26456	1.61608
2.26893	1.63074
2.27329	1.64427
2.27765	1.66054
2.28202	1.67810
2.28638	1.69840
2.28638	1.70291
2.29511	1.72417
2.29947	1.74414
2.30383	1.76863
2.30820	1.79102
2.31692	1.81132
2.32129	1.82742
2.32565	1.84305
2.33001	1.86141
2.33874	1.88863
2.34310	1.91392
2.34747	1.93632
2.35619	1.95758
2.36056	1.98045
2.36492	2.00252
2.36928	2.02233
2.37365	2.04005
2.38237	2.06132
2.38674	2.08081
2.38674	2.08016
2.38674	2.08419
2.38674	2.07903
2.38674	2.08145
2.38674	2.08097
2.38674	2.08387
2.38674	2.08145
2.38674	2.08258
2.38674	2.08322
2.38674	2.08419
2.38674	2.08725
2.38674	2.08435
2.38674	2.08451
2.38674	2.08274
2.38674	2.08242
2.38674	2.08145
2.38674	2.07952
2.38674	2.08210
2.38674	2.08226
2.38674	2.08371
2.38674	2.08338
2.39110	2.09466
2.39983	2.12913
2.40419	2.15136
2.40855	2.16376
2.41292	2.17923
2.41728	2.19727
2.42164	2.21145
2.42601	2.22610
2.43037	2.24656
2.43473	2.26460
2.44346	2.29215
2.44782	2.30391
2.45219	2.32372
2.45655	2.34547
2.46091	2.35803
2.46528	2.36947
2.46528	2.38574
2.46964	2.39927
2.47400	2.41264
2.47837	2.42939
2.48273	2.43809
2.48273	2.45033
2.48709	2.46563
2.49146	2.48319
2.50018	2.50285
2.50455	2.52201
2.50891	2.54376
2.51327	2.56035
2.51764	2.57662
2.52200	2.59273
2.52636	2.60707
2.53073	2.62108
2.53945	2.64138
2.54382	2.65378
2.54818	2.67166
2.55254	2.68439
2.55691	2.70033
2.56127	2.71821
2.56563	2.73352
2.57000	2.75011
2.57436	2.75736
2.57436	2.77363
2.57872	2.78281
2.58309	2.79521
2.58745	2.80601
2.59181	2.81809
2.59181	2.82936
2.59618	2.83887
2.60054	2.84418
2.60490	2.86142
2.60490	2.86335
2.60927	2.87495
2.61363	2.89106
2.61363	2.89815
2.61799	2.90378
2.62236	2.91039
2.62236	2.92150
2.62236	2.92199
2.62236	2.92215
2.62672	2.92472
2.62672	2.92843
2.62672	2.93262
2.62672	2.93664
2.63545	2.95678
2.64417	2.98416
2.64854	2.99850
2.65290	3.00704
2.65726	3.02637
2.66163	3.03410
2.66599	3.05182
2.67035	3.06503
2.67472	3.07792
2.67908	3.09048
2.68344	3.11045
2.68781	3.11851
2.69217	3.13494
2.70090	3.15508
2.70526	3.17038
2.70962	3.18794
2.71399	3.19599
2.71835	3.21146
2.72271	3.22160
2.72708	3.23175
2.72708	3.24367
2.73580	3.25624
2.74017	3.26655
2.74017	3.27057
2.74453	3.28249
2.74889	3.28990
2.75326	3.30102
2.75762	3.31084
2.76198	3.32115
2.76198	3.32695
2.76635	3.33066
2.77071	3.34403
2.77071	3.34612
2.77507	3.35675
2.77944	3.36706
2.77944	3.36835
2.78380	3.37399
2.78816	3.38333
2.78816	3.39252
2.79253	3.39493
2.79689	3.40186
2.79689	3.40782
2.79689	3.40959
2.80125	3.41974
2.80125	3.41974
2.80562	3.42425
2.80562	3.43069
2.80998	3.43971
2.80998	3.44100
2.81434	3.44583
2.81434	3.45486
2.81871	3.45695
2.82307	3.46597
2.82307	3.47515
2.82743	3.48321
2.83180	3.48836
2.83180	3.48965
2.83616	3.49754
2.83616	3.50334
2.83616	3.50334
2.84052	3.50801
2.84489	3.51607
2.84489	3.52316
2.84925	3.52622
2.84925	3.53395
2.85361	3.53878
2.85798	3.54522
2.85798	3.55231
2.86234	3.55425
2.86670	3.56327
2.86670	3.57003
2.87107	3.57664
2.87543	3.58324
2.88416	3.59291
2.88416	3.59516
2.88852	3.59790
2.89288	3.60740
2.89725	3.61433
2.90161	3.62271
2.90597	3.63253
2.91034	3.63414
2.91470	3.64107
2.91906	3.65251
2.92343	3.65589
2.92779	3.66105
2.93215	3.66588
2.93652	3.67087
2.94088	3.68038
2.94524	3.68344
2.94961	3.68811
2.95397	3.69423
2.95833	3.69713
2.96270	3.70615
2.96706	3.70808
2.97142	3.71549
2.98015	3.72467
2.98451	3.72919
2.99324	3.73772
3.00197	3.74690
3.01069	3.74964
3.01506	3.75576
3.01942	3.76108
3.02815	3.76334
3.02815	3.76591
3.03251	3.76946
3.04124	3.76978
3.04560	3.77413
3.05433	3.77654
3.05869	3.77993
3.06305	3.77880
3.06742	3.78057
3.07178	3.78347
3.07614	3.78395
3.08051	3.78557
3.08487	3.78508
3.09360	3.78637
3.09796	3.78702
3.10232	3.78895
3.10669	3.78863
3.11105	3.78637
3.11105	3.78428
3.11541	3.78540
3.11978	3.78573
3.12414	3.78363
3.12850	3.78347
3.13287	3.78283
3.13723	3.77977
3.14159	3.77832
3.15032	3.78363
