Sensor Position (Radians)	Light Intensity (Volts)
1.78460	0.34998
1.78460	0.34885
1.78896	0.34466
1.79333	0.34031
1.79333	0.34418
1.79769	0.33645
1.80205	0.33484
1.80642	0.33387
1.80642	0.33017
1.81078	0.32839
1.81078	0.32372
1.81514	0.32292
1.81951	0.32243
1.81951	0.31873
1.82387	0.31680
1.82823	0.31374
1.82823	0.31196
1.83260	0.30939
1.83696	0.30278
1.84132	0.30133
1.84569	0.29811
1.85005	0.29489
1.85005	0.29424
1.85005	0.28973
1.85441	0.28909
1.85878	0.28635
1.85878	0.28635
1.86314	0.27717
1.86750	0.27363
1.87187	0.27330
1.87623	0.26879
1.87623	0.26589
1.88059	0.26348
1.88496	0.26251
1.88932	0.25559
1.89368	0.25124
1.89368	0.24946
1.89805	0.24511
1.90241	0.24511
1.90677	0.23754
1.90677	0.23851
1.91114	0.23626
1.91550	0.23110
1.91550	0.22901
1.91986	0.22611
1.92423	0.22272
1.92423	0.22079
1.92859	0.21322
1.93295	0.21113
1.94168	0.20646
1.94168	0.20436
1.94604	0.19888
1.95041	0.19582
1.95477	0.18890
1.95913	0.18616
1.96350	0.18278
1.96786	0.18068
1.97222	0.18036
1.97222	0.17343
1.97659	0.17118
1.98095	0.16538
1.98531	0.16167
1.98968	0.15620
1.99404	0.15459
1.99840	0.15008
2.00277	0.14573
2.00713	0.14476
2.00713	0.14170
2.01149	0.14090
2.01586	0.13558
2.01586	0.13542
2.02022	0.13107
2.02458	0.12833
2.02895	0.12511
2.02895	0.12285
2.03331	0.11979
2.03331	0.11754
2.03331	0.11657
2.03331	0.11786
2.03331	0.11738
2.03331	0.11480
2.03331	0.11722
2.03331	0.11915
2.03331	0.11722
2.03331	0.11754
2.03331	0.11706
2.03331	0.11883
2.03331	0.11979
2.03331	0.11834
2.03331	0.11979
2.03331	0.11625
2.03331	0.11850
2.03331	0.11818
2.03331	0.11818
2.03331	0.11625
2.03331	0.12044
2.03331	0.11673
2.03331	0.11786
2.03767	0.11834
2.03767	0.11754
2.03767	0.11641
2.04640	0.10868
2.05076	0.10481
2.05949	0.09724
2.05949	0.09789
2.05949	0.09531
2.06385	0.09579
2.06822	0.08935
2.07694	0.08516
2.08131	0.07743
2.08567	0.07823
2.09003	0.07533
2.09440	0.07179
2.09876	0.06712
2.10312	0.06406
2.10749	0.06068
2.11185	0.05633
2.11621	0.05681
2.12058	0.05149
2.12058	0.05149
2.12494	0.04698
2.12494	0.04924
2.12930	0.04553
2.13367	0.04360
2.13803	0.03941
2.14239	0.03748
2.14675	0.03748
2.14675	0.03426
2.15112	0.03329
2.15548	0.02943
2.15984	0.02669
2.16421	0.02508
2.16857	0.02540
2.17293	0.01799
2.17730	0.02604
2.18166	0.01718
2.18602	0.01638
2.18602	0.01461
2.19039	0.01541
2.19039	0.01074
2.19475	0.01090
2.19911	0.01010
2.20348	0.00736
2.20784	0.00720
2.21220	0.00478
2.21657	0.00543
2.22093	0.00220
2.22529	0.00124
2.22966	0.00075
2.23402	-0.00424
2.23838	-0.00134
2.24275	-0.00376
2.25147	-0.00762
2.25584	-0.00923
2.26456	-0.00633
2.26893	-0.00859
2.27329	-0.00859
2.27765	-0.00730
2.28638	-0.01245
2.29074	-0.00923
