Sensor Position (Degrees)	Light Intensity (Volts)
148.36667	0.90316
148.36667	0.90058
148.36667	0.89011
148.36667	0.89414
148.36667	0.89269
148.36667	0.89849
148.36667	0.91831
148.36667	0.92411
148.36667	0.92781
148.36667	0.92942
148.36667	0.92684
148.36667	0.92765
148.36667	0.92507
148.36667	0.92459
148.38333	0.92024
148.38333	0.91460
148.38333	0.91557
148.38333	0.92153
148.38333	0.91814
148.38333	0.90751
148.38333	0.91379
148.38333	0.91750
148.38333	0.91814
148.38333	0.92668
148.38333	0.92636
148.38333	0.92556
148.38333	0.91734
148.38333	0.92668
148.36667	0.93119
148.36667	0.92298
148.35000	0.91798
148.35000	0.92104
148.33333	0.92829
148.33333	0.92362
148.31667	0.92346
148.30000	0.92056
148.26667	0.91992
147.91667	0.92346
146.93333	0.35329
146.31667	0.02510
146.30000	0.02123
146.30000	0.02059
146.30000	0.01640
146.30000	0.01705
146.31667	0.02156
146.31667	0.02091
146.31667	0.02107
146.31667	0.02075
146.31667	0.02043
146.31667	0.02430
146.31667	0.01930
146.31667	0.02188
146.31667	0.01978
146.31667	0.06473
146.31667	0.21167
146.31667	0.71289
146.31667	0.79360
146.31667	0.85741
146.31667	0.85853
146.31667	0.85370
146.31667	0.84597
146.31667	0.81084
146.31667	0.78652
146.31667	0.71095
146.31667	0.69984
146.31667	0.69694
146.31667	0.70322
146.31667	0.70596
146.31667	0.71095
146.31667	0.71627
146.31667	0.71112
146.31667	0.71547
146.31667	0.71353
146.31667	0.72159
146.31667	0.71595
146.31667	0.71240
146.33333	0.71949
146.33333	0.71240
146.33333	0.71708
146.33333	0.71965
146.33333	0.71675
146.31667	0.70596
146.31667	0.69919
146.30000	0.69823
146.28333	0.70483
146.26667	0.70193
146.25000	0.70580
146.06667	0.74527
145.13333	0.82244
144.28333	0.41950
144.23333	0.21054
144.25000	0.21199
144.25000	0.20957
144.25000	0.19830
144.26667	0.19572
144.26667	0.20104
144.26667	0.20265
144.26667	0.22665
144.26667	0.23036
144.26667	0.38857
144.26667	0.67180
144.26667	0.68582
144.26667	0.76718
144.26667	0.77943
144.26667	0.77814
144.26667	0.70016
144.26667	0.61590
144.26667	0.64232
144.26667	0.67470
144.26667	0.67986
144.26667	0.67954
144.26667	0.69162
144.26667	0.68872
144.26667	0.68824
144.26667	0.68743
144.26667	0.68630
144.28333	0.69323
144.28333	0.68824
144.28333	0.69114
144.28333	0.68904
144.28333	0.68163
144.28333	0.68389
144.28333	0.68614
144.28333	0.68856
144.28333	0.67873
144.28333	0.68324
144.28333	0.67615
144.26667	0.67599
144.26667	0.67664
144.25000	0.68018
144.25000	0.68034
144.23333	0.68437
144.21667	0.68695
144.20000	0.68405
144.15000	0.70403
143.70000	0.76187
143.01667	0.74624
142.78333	0.68920
142.78333	0.69114
142.78333	0.68179
142.76667	0.68437
142.75000	0.67728
142.73333	0.66745
142.73333	0.67374
142.73333	0.66907
142.75000	0.66890
142.75000	0.65924
142.75000	0.66069
142.75000	0.66020
142.75000	0.66117
142.75000	0.65908
142.75000	0.66488
142.75000	0.67100
142.75000	0.66794
142.75000	0.68969
142.75000	0.70048
142.75000	0.70983
142.75000	0.70709
142.75000	0.71756
142.75000	0.73834
142.75000	0.74672
142.75000	0.73577
142.75000	0.69758
142.75000	0.39356
142.75000	0.35828
142.75000	0.37810
